Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-3,32,-16.60000081,-18.27844575,2.0,FHNode131,Section-3_Node_32,0.25,0.035
Section-3,33,-14.13215719,-20.25951005,2.0,FHNode132,Section-3_Node_33,0.25,0.035
Section-3,34,-11.43012351,-21.90940684,2.0,FHNode133,Section-3_Node_34,0.25,0.035
Section-3,35,-8.53809373,-23.20075887,2.0,FHNode134,Section-3_Node_35,0.25,0.035
Section-3,36,-5.50341953,-24.1120564,2.0,FHNode135,Section-3_Node_36,0.25,0.035
Section-3,37,-2.37583502,-24.62801535,2.0,FHNode136,Section-3_Node_37,0.25,0.035
Section-3,38,0.79335831,-24.73983356,2.0,FHNode137,Section-3_Node_38,0.25,0.035
Section-3,39,3.95213312,-24.44534074,2.0,FHNode138,Section-3_Node_39,0.25,0.035
Section-3,40,7.04859029,-23.74903959,2.0,FHNode139,Section-3_Node_40,0.25,0.035
Section-3,41,10.03181168,-22.66203733,2.0,FHNode140,Section-3_Node_41,0.25,0.035
Section-3,42,12.85269738,-21.20186866,2.0,FHNode141,Section-3_Node_42,0.25,0.035
Section-3,43,15.46477384,-19.39221302,2.0,FHNode142,Section-3_Node_43,0.25,0.035
Section-3,44,17.82495951,-17.26251064,2.0,FHNode143,Section-3_Node_44,0.25,0.035
Section-3,45,19.89427539,-14.8474836,2.0,FHNode144,Section-3_Node_45,0.25,0.035
Section-3,46,21.63848874,-12.18656982,2.0,FHNode145,Section-3_Node_46,0.25,0.035
Section-3,47,23.02867934,-9.32327898,2.0,FHNode146,Section-3_Node_47,0.25,0.035
Section-3,48,24.04171901,-6.30448115,2.0,FHNode147,Section-3_Node_48,0.25,0.035
Section-3,49,24.66065629,-3.17963953,2.0,FHNode148,Section-3_Node_49,0.25,0.035
Section-3,50,24.875,-0.0,2.0,FHNode149,Section-3_Node_50,0.25,0.035
Section-4,1,24.875,0.0,3.0,FHNode150,Section-4_Node_1,0.25,0.035
Section-4,2,24.66065629,3.17963953,3.0,FHNode151,Section-4_Node_2,0.25,0.035
Section-4,3,24.04171901,6.30448115,3.0,FHNode152,Section-4_Node_3,0.25,0.035
Section-4,4,23.02867934,9.32327898,3.0,FHNode153,Section-4_Node_4,0.25,0.035
Section-4,5,21.63848874,12.18656982,3.0,FHNode154,Section-4_Node_5,0.25,0.035
Section-4,6,19.89427539,14.8474836,3.0,FHNode155,Section-4_Node_6,0.25,0.035
Section-4,7,17.82495951,17.26251064,3.0,FHNode156,Section-4_Node_7,0.25,0.035
Section-4,8,15.46477384,19.39221302,3.0,FHNode157,Section-4_Node_8,0.25,0.035
Section-4,9,12.85269738,21.20186866,3.0,FHNode158,Section-4_Node_9,0.25,0.035
Section-4,10,10.03181168,22.66203733,3.0,FHNode159,Section-4_Node_10,0.25,0.035
Section-4,11,7.04859029,23.74903959,3.0,FHNode160,Section-4_Node_11,0.25,0.035
Section-4,12,3.95213312,24.44534074,3.0,FHNode161,Section-4_Node_12,0.25,0.035
Section-4,13,0.79335831,24.73983356,3.0,FHNode162,Section-4_Node_13,0.25,0.035
Section-4,14,-2.37583502,24.62801535,3.0,FHNode163,Section-4_Node_14,0.25,0.035
Section-4,15,-5.50341953,24.1120564,3.0,FHNode164,Section-4_Node_15,0.25,0.035
Section-4,16,-8.53809373,23.20075887,3.0,FHNode165,Section-4_Node_16,0.25,0.035
Section-4,17,-11.43012351,21.90940684,3.0,FHNode166,Section-4_Node_17,0.25,0.035
Section-4,18,-14.13215719,20.25951005,3.0,FHNode167,Section-4_Node_18,0.25,0.035
Section-4,19,-16.60000081,18.27844575,3.0,FHNode168,Section-4_Node_19,0.25,0.035
Section-4,20,-18.79334094,15.9990044,3.0,FHNode169,Section-4_Node_20,0.25,0.035
Section-4,21,-20.67640322,13.45884701,3.0,FHNode170,Section-4_Node_21,0.25,0.035
Section-4,22,-22.21853583,10.69988292,3.0,FHNode171,Section-4_Node_22,0.25,0.035
